字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
终止信息	关闭原因	文本	手工录入或系统记录	条件必填	否	否	否	否	是	手工关闭时填写；到期自动关闭记录触发条件，具体口径待确认。	手工关闭时填写的原因；到期自动关闭记录触发条件	自动关闭记录的具体口径待确认；未关闭时留空
终止信息	关闭时间	日期时间	系统记录	条件必填	否	否	否	否	是	关闭操作发生的时间；未关闭时留空。	关闭操作发生的时间	未关闭时留空
终止信息	关闭操作人	文本	系统记录	条件必填	否	否	否	否	是	手工关闭记录操作人，到期自动关闭记录系统；未关闭时留空。	手工关闭记录操作人，到期自动关闭记录「系统」	未关闭时留空
终止信息	取消原因	文本	手工录入	条件必填	否	否	否	否	是	整单取消时填写。	整单取消时填写	未取消时留空
终止信息	取消时间	日期时间	系统记录	条件必填	否	否	否	否	是	取消操作发生的时间；未取消时留空。	取消操作发生的时间	未取消时留空
终止信息	取消操作人	用户引用	系统记录	条件必填	否	否	否	否	是	执行取消操作的人员；未取消时留空。	执行取消操作的人员	未取消时留空
审核信息	审核人	用户引用	系统记录	条件必填	否	否	否	否	是	最近一次完成审核通过或退回的人员。	最近一次完成审核通过或退回的人员	未审核时留空
审核信息	审核时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次审核操作的时间。	最近一次审核操作的时间	未审核时留空
审核信息	退回意见	多行文本	人工录入	条件必填	否	否	否	否	是	审核退回时填写并保留；退回后回到草稿。	审核退回时填写并保留	未退回时留空
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建单人员。	建单人员	
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建单时间。	建单时间	
系统信息	更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	最近修改人员	
系统信息	更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改时间。	最近修改时间	
