字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
发货与交期	发货地址	关联选择	客户资料	条件必填	是	是	否	否	是	从所选客户地址明细选择本单约定发货地址；物流配送时必填；选客户后默认带出客户默认地址。	所选客户已维护的地址明细	已审核后不可改；自提时不填；详情按省市区+详细地址展示
发货与交期	物流服务产品	关联选择	物流资料	条件必填	是	是	否	否	是	物流配送时选择启用的物流服务产品，或选「由仓库指定」；下推通知单默认继承；名称按单据快照展示，不随主数据变更实时读取。物流服务产品名称按单据快照展示。	启用的物流服务产品，或特殊选项「由仓库指定」；自提时不选	已审核后不可改；「由仓库指定」不创建虚拟档案
发货与交期	物流服务产品名称快照	文本	物流资料（保存销售订单时）	是	否	否	否	否	否	选择物流服务产品后于销售订单首次保存时取名并固化；后续通知继承或按通知单实际选择的产品固化。	保存/生成时从来源资料或来源单据固化名称；历史单据不实时读取主数据。	与对应编码组合展示，不单独展示或筛选。
单据信息	总销售数量	数值	系统计算	是	否	只读	是	否	是	各明细行销售数量之和；不同SKU数量直接相加。	不小于0；等于各明细行销售数量之和	列表默认展示
单据信息	总可下推数量	数值	系统计算	是	否	只读	是	否	是	各明细行可下推数量之和；仅已审核且业务状态为正常时汇总展示，否则为0。	不小于0；等于各明细行可下推数量之和	关闭、取消、未审核时列表展示0
单据信息	累计实际出库数量	数值	系统回写	是	否	只读	是	否	是	各明细行累计实际出库数量之和。	不小于0；等于各明细行累计实际出库数量之和	列表默认展示；单头汇总，明细行另有同名字段
单据信息	订单剩余预占	数值	系统计算	是	否	只读	否	否	是	审核占用量减累计实际出库量；关闭或取消发生释放后按销售订单PRD规则计算。	不小于0	仅反映当前仍占用的库存；计算规则见《销售订单主PRD》§7.2
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	商品	关联选择	商品资料	是	是	是	否	否	是	选择可用成品SKU；选后带出商品编码、商品条码、商品名称和基本单位；不按是否已有销售价格过滤可选商品。	可用成品SKU	后台关联字段；页面以商品编码列为选品入口，不单独展示商品列
商品明细	商品编码	文本	商品资料	是	只读	只读	否	是	是	按所选商品带出；明细表单独成列展示；新增编辑页本列为选品入口。	商品资料的商品编码	列表按编码模糊检索包含该商品的订单
商品明细	商品条码	多行文本	商品资料	否	只读	只读	否	是	是	按所选商品带出；一行一个条码。	商品资料的商品条码，一行一条	列表按条码模糊检索包含该商品的订单；多条码任一条码命中即可（2026-09-22确认）
商品明细	商品名称	文本	商品资料快照（销售订单首次保存时）	是	只读	只读	否	否	是	选择商品后带出并固化名称；历史销售订单不随商品资料变更。明细表单独成列展示。	销售订单首次保存时按商品编码取名称并固化	无
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品带出，作为数量的计量口径，不单独维护。	商品资料的基本单位	无
商品明细	销售数量	数值	手工录入	是	是	是	否	否	是	以基本单位计量，必须大于0；审核后固定，不因调整交期改变。	大于0的整数，以基本单位计量	校验见《销售订单主PRD》§7.6
商品明细	含税单价	金额	手工录入或价格带出	是	是	是	否	否	是	按具体客户价、客户等级价、所有客户基准价的顺序取价；无价可手工填写，草稿可改，提交后锁定。	非空非负金额；零价经确认后可使用	保留4位小数
商品明细	税率	数值	手工录入或价格带出	是	是	是	否	否	是	从商品默认销售税率或销售价格带出；草稿可改，提交后锁定；允许0%。	百分比，最多2位小数，允许0%	税率为0时税额为0
商品明细	不含税单价	金额	系统计算	是	只读	只读	否	否	是	按含税单价和税率自动计算。	按含税单价和税率计算	行内尾差进税额；保留4位小数
商品明细	价税合计	金额	系统计算	是	只读	只读	否	否	是	本行含税金额，按销售数量与含税单价计算。	销售数量×含税单价	2位小数
商品明细	税额	金额	系统计算	是	只读	只读	否	否	是	本行税额，按价税合计与金额计算。	价税合计−金额	2位小数；尾差进税额
商品明细	金额	金额	系统计算	是	只读	只读	否	否	是	本行不含税金额，按销售数量与不含税单价计算。	销售数量×不含税单价	指不含税金额；2位小数
商品明细	累计实际出库数量	数值	系统回写	是	否	只读	是	否	是	由已审核销售出库单按来源行回写的累计实际出库数量。	不小于0，累计不超过销售数量	新增时无值，不在新增页展示
商品明细	剩余发货数量	数值	系统计算	是	否	只读	否	否	是	尚未实际出库的数量，按销售数量减累计实际出库数量计算。	销售数量−累计实际出库数量	与可下推数量口径不同，仅反映尚未实际出库量
商品明细	可下推数量	数值	系统计算	是	否	只读	是	否	是	销售数量减已结束通知实际出库数量，再减未结束有效通知数量；不同SKU不互抵，订单关闭后不能再安排。	不小于0	关闭后保留数值，但不再具备新增通知资格
商品明细	在途通知数量	数值	系统计算	是	否	只读	否	否	是	未结束销售发货通知单占用的数量；通知取消成功释放，实际出库后由实际数量替代。	不小于0	新增时无值，不在新增页展示
终止信息	关闭方式	枚举	人工关闭或系统自动	条件必填	否	否	否	否	是	手动关闭、到期自动关闭、全部履约自动关闭；未关闭时留空。	手动关闭／到期自动关闭／全部履约自动关闭	详情页仅在已关闭时展示
终止信息	关闭原因	多行文本	手工录入	条件必填	否	否	否	否	是	手工关闭时必填；系统自动关闭时留空，用关闭方式区分。	手工关闭时填写的原因	未关闭或系统自动关闭时留空
终止信息	关闭时间	日期时间	系统记录	条件必填	否	否	否	否	是	关闭操作发生的时间；未关闭时留空。	关闭操作发生的时间	无
终止信息	关闭操作人	用户引用	系统记录	条件必填	否	否	否	否	是	手工关闭记录操作人；系统自动关闭时留空。	手工关闭记录操作用户	系统自动关闭不写“系统”字符串
终止信息	取消原因	多行文本	手工录入	条件必填	否	否	否	否	是	整单取消时填写。	整单取消时填写	详情页仅在已取消时展示
终止信息	取消时间	日期时间	系统记录	条件必填	否	否	否	否	是	取消操作发生的时间；未取消时留空。	取消操作发生的时间	无
终止信息	取消操作人	用户引用	系统记录	条件必填	否	否	否	否	是	执行取消操作的人员；未取消时留空。	执行取消操作的人员	无
操作信息	审核人	用户引用	系统记录	条件必填	否	否	否	否	是	最近一次完成审核或撤回的人员。	最近一次完成审核或撤回的人员	未审核时留空
操作信息	审核时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次审核操作的时间。	最近一次审核操作的时间	未审核时留空
操作信息	撤回意见	多行文本	手工录入	条件必填	否	否	否	否	是	撤回时填写并保留；撤回后回到草稿。	撤回时填写并保留	未撤回时留空
操作信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建单人员。	建单人员	新增和编辑页不展示
操作信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	是	是	建单时间。	建单时间	列表支持日期范围筛选；默认按此倒序
操作信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	最近修改人员	新增和编辑页不展示
操作信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改时间。	最近修改时间	无
