字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
地址明细	地址类型	枚举	人工选择	否	是	是	否	否	是	收货等地址用途，具体选项待确认，支持多条。	待确认	选项待确认（主PRD Q04）
地址明细	国家/地区	关联选择	系统预置地区字典	否	是	是	否	否	是	地址所属国家或地区；先选择国家/地区，再录入下级地址；展示 Code-Name。	系统预置：中国、美国、德国、日本、中国香港等	选中国后联动省市区；选海外后省/州、城市改手工录入
地址明细	省/州	关联选择/文本	系统预置地区字典或手工录入	否	是	是	否	否	是	中国：通过省市区联动选择省；海外：手工录入省/州。	中国取省名称；海外取录入文本	非必填
地址明细	市	关联选择/文本	系统预置地区字典或手工录入	否	是	是	否	否	是	中国：通过省市区联动选择市；海外：手工录入城市。	中国取市名称；海外取录入文本	非必填
地址明细	区	关联选择	系统预置地区字典	否	是	是	否	否	是	仅中国展示并通过省市区联动选择区；海外不展示、留空。	中国取区名称	非必填；仅中国
地址明细	详细地址	文本	手工录入	条件必填	是	是	否	否	是	街道、门牌、楼层等具体信息。通用2C档案不在此累计消费者资料。	文本	添加地址行后必填
地址明细	地址联系人	文本	手工录入	否	是	是	否	否	是	该地点实际对接或收货人员。	文本	非必填
地址明细	联系电话	文本	手工录入	否	是	是	否	否	是	该地点的联系电话。	文本	非必填
地址明细	邮政编码	文本	手工录入	否	是	是	否	否	是	邮寄使用，按文本保存。	文本	非必填
地址明细	是否默认地址	布尔	人工设置	否	是	是	否	否	是	每个客户最多一个默认地址；引用时优先带入，无默认项时手动选择，不自动取第一条。	是、否	设置默认时自动取消同组其他默认
地址明细	地址备注	多行文本	手工录入	否	是	是	否	否	是	该地址的补充说明。	多行文本	非必填
银行信息	账户名称	文本	手工录入	条件必填	是	是	否	否	是	银行账户开户名称；支持多条银行信息。通用2C档案不在此累计消费者资料。	文本	添加银行信息行后必填
银行信息	银行账号	文本	手工录入	条件必填	是	是	否	否	是	银行账号，按文本保存以保留前导零；页面原样展示，不脱敏。	文本	添加银行信息行后必填
银行信息	开户银行	文本	手工录入	条件必填	是	是	否	否	是	开户银行名称。	文本	添加银行信息行后必填
银行信息	开户支行	文本	手工录入	否	是	是	否	否	是	具体开户网点。	文本	非必填
银行信息	银行联行号	文本	手工录入	否	是	是	否	否	是	付款使用的银行识别信息。	文本	非必填
银行信息	账户币别	关联选择	辅助资料／币别	否	是	是	否	否	是	账户对应币别。	辅助资料维护的启用币别	非必填；展示按「编码 名称」（如 CNY 人民币）
银行信息	是否默认银行账户	布尔	人工设置	否	是	是	否	否	是	每个客户最多一个默认银行账户；引用时优先带入，无默认项时手动选择，不自动取第一条；默认不代表自动付款。	是、否	设置默认时自动取消同组其他默认
银行信息	账户备注	多行文本	手工录入	否	是	是	否	否	是	该账户的使用说明。	多行文本	非必填
工商信息	企业名称	文本	手工录入	否	是	是	是	是	是	工商登记企业名称。每客户仅一套；所有客户类型均选填。	文本	所有客户类型均选填（主PRD Q04）
工商信息	纳税人识别号	文本	手工录入	否	是	是	是	是	是	税务识别信息，按文本保存。每客户仅一套；所有客户类型均选填。	文本	所有客户类型均选填（主PRD Q04）
工商信息	注册地址	文本	手工录入	否	是	是	否	否	是	工商登记地址，区别于业务收货地址。每客户仅一套；所有客户类型均选填。	文本	所有客户类型均选填（主PRD Q04）
工商信息	注册电话	文本	手工录入	否	是	是	否	否	是	工商登记电话。每客户仅一套；所有客户类型均选填。	文本	所有客户类型均选填（主PRD Q04）
工商信息	工商开户银行	文本	手工录入或从银行明细默认项带出	否	是	是	否	否	是	工商信息使用的开户银行。新增时从银行明细默认项带出，仍可修改或清空。每客户仅一套；所有客户类型均选填。	文本	所有客户类型均选填；从银行明细默认项带出，仍可修改或清空（主PRD Q04）
工商信息	工商银行账号	文本	手工录入或从银行明细默认项带出	否	是	是	否	否	是	工商信息使用的银行账号，按文本保存以保留前导零；页面原样展示，不脱敏。新增时从银行明细默认项带出，仍可修改或清空。每客户仅一套；所有客户类型均选填。	文本	所有客户类型均选填；从银行明细默认项带出，仍可修改或清空（主PRD Q04）
审核与使用状态	审核状态	枚举	流程更新	不适用（系统赋值）	否	只读	是	是	是	草稿、待审核、审核通过、已驳回；提交进入待审核，驳回后可修改并重新提交。已审核资料先反审核回草稿，修改后须重新提交审核，重新审核通过前新单不能引用该条资料。	草稿、待审核、审核通过、已驳回	编辑页页头只读展示；列表按页签筛选；已审核后先反审核回草稿，再修改并重新提交审核（主PRD Q03）
审核与使用状态	使用状态	枚举	人工维护	不适用（系统赋值）	只读	只读	是	是	是	启用／禁用；新销售业务只能选择审核通过且启用的客户，等级不影响销售资格。	启用、禁用；新建与导入默认启用，仍须审核通过才能被销售选择	通过启用、禁用操作变更，不在表单编辑
审核与使用状态	审核人	用户引用	系统记录	不适用（系统赋值）	否	否	是	否	是	最近一次审核通过或驳回的操作人员；反审核后保留最近一次记录。	系统记录	新增和编辑页不展示；未审核时留空
审核与使用状态	审核时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	最近一次审核通过或驳回的操作时间；反审核后保留最近一次记录。	系统记录	新增和编辑页不展示；未审核时留空
维护信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	客户建档人员。	系统记录	新增和编辑页不展示
维护信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	客户建档时间。	系统记录	新增和编辑页不展示
维护信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	否	否	是	否	是	最近修改资料的人员。	系统记录	新增和编辑页不展示
维护信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	是	是	是	最近修改资料的时间。	系统记录	列表默认按此列倒序
