字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
状态与推送	审核状态	枚举	流程更新	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	草稿、待审核、已审核；回传校验通过后自动审核。	草稿、待审核、已审核	正常数据为已审核；草稿/待审核的人工确认入口在系统集成中心
状态与推送	推送财务ERP状态	枚举	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	是	是	未推送、推送中、推送成功、推送失败；失败在系统集成中心重推原单。	未推送、推送中、推送成功、推送失败	自动重试最多3次；本模块列表/详情不提供重推按钮
状态与推送	推送财务ERP时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近一次推送财务ERP的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未推送时留空
状态与推送	推送失败原因	多行文本	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	推送财务ERP失败时记录；修复后针对原单重试。	推送失败时记录	未失败时留空；重推成功后仍保留历史失败原因
审核信息	审核人	用户引用	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	人工审核时记录审核人；自动审核时留空。	人工审核的操作人	未审核或自动审核时留空
审核信息	审核时间	日期时间	系统记录	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	自动审核或人工审核通过的时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	未审核时留空
商品明细	行号	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	明细行顺序号。	从1开始的整数	无
商品明细	来源申请行	关联明细	其他入库申请单	条件必填	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	有来源时关联来源申请明细，数量按来源行回写。	来源其他入库申请单明细	来源类型=申请执行时必填；仓库主动回传时留空
商品明细	商品	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	本行商品；沿用来源申请行或按回传映射识别。	启用的成品SKU	映射异常时保留异常，不记账
商品明细	商品编码	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	是	是	随商品带出，明细单独成列展示。	商品资料的商品编码	列表按编码模糊检索
商品明细	商品名称	文本	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	随商品带出，明细单独成列展示。	商品资料的当前名称	商品改名后按最新名称展示
商品明细	基本单位	关联选择	商品资料	是	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	随商品带出，与商品名称一起展示，作为数量的计量口径。	商品资料的基本单位	一期不做单位换算
商品明细	实际入库数量	数值	系统记录	是	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	仓库实际入库的数量；不超过申请数量；审核后增加对应逻辑仓即时库存。	整数；大于0；按基本单位	不允许零数量结果单；列表按各明细行合计展示
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	建单人员；自动生成的结果单显示「系统」。	建单人员或「系统」	系统自动生成时显示「系统」
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	建单时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	结果单列表默认按业务日期倒序，创建时间不作为默认排序
系统信息	最后更新人	用户引用	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	是	最近修改人员；自动生成的结果单显示「系统」。	最近修改人员或「系统」	系统自动生成时显示「系统」
系统信息	最后更新时间	日期时间	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	是	最近修改时间。	系统记录，格式YYYY-MM-DD HH:mm:ss	无
