字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
变动明细	即时库存变动后	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动后的即时库存数量，等于变动前＋变动数量；按记账生效时间写入。	整数；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`
变动明细	可用库存变动前	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动前该「逻辑仓＋商品」的可用库存数量（即时−预占−冻结）；按记账生效时间写入。	整数；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`
变动明细	可用库存变动数量	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动带来的可用库存增减；结果单入库增加、出库减少，冻结减少可用、解冻增加可用。	整数；增加为正、减少为负；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`；一期数量不允许小数
变动明细	可用库存变动后	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动后的可用库存数量，等于变动前＋变动数量；按记账生效时间写入。	整数；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`
变动明细	预占库存变动前	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动前该「逻辑仓＋商品」的预占库存数量；按记账生效时间写入。	整数；按基本单位	销售订单审核预占与释放流水记录预占变化；其他业务预占与释放是否生成流水按对应业务规则执行。页面按 `前 → 后（变动）` 展示
变动明细	预占库存变动数量	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次流水带来的预占库存增减；订单预占为正、订单释放为负；结果单出库消耗预占为负，冻结、解冻不改变预占，本值为0。	整数；减少为负；按基本单位	销售订单预占／释放单独生成流水（事件类型：订单预占、订单释放）；订单预占可用量记负、预占量记正，订单释放方向相反；其他业务口径见主PRD R01；页面按 `前 → 后（变动）` 展示
变动明细	预占库存变动后	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动后的预占库存数量，等于变动前＋变动数量；按记账生效时间写入。	整数；按基本单位	销售订单预占／释放流水按主PRD R11记录；其他业务预占与释放按主PRD R01；页面按 `前 → 后（变动）` 展示
变动明细	冻结库存变动前	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动前该「逻辑仓＋商品」的冻结库存数量；按记账生效时间写入。	整数；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`
变动明细	冻结库存变动数量	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动带来的冻结库存增减；冻结为正、解冻为负，结果单流水为0。	整数；增加为正、减少为负；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`
变动明细	冻结库存变动后	数值	系统记录	不适用（系统赋值）	不适用（本模块不提供）	不适用（本模块不提供）	是	否	否	本次变动后的冻结库存数量，等于变动前＋变动数量；按记账生效时间写入。	整数；按基本单位	页面与导出按 `前 → 后（变动）` 展示；无变化显示 `x → x（0）`
变动信息	变动方向	枚举	系统计算	条件必填（结果单流水必填；订单预占／释放、冻结、解冻流水为空）	不适用（本模块不提供）	不适用（本模块不提供）	否	是	否	由结果单对逻辑仓库存的作用方向决定；订单预占／释放、冻结、解冻不适用。	增加、减少	订单预占／释放、冻结、解冻流水不改变即时库存，本列留空展示 `-`；方向在变动明细四组的 `前 → 后（变动）` 中表达
变动信息	变动数量	数值	系统计算	条件必填（结果单流水必填；订单预占／释放、冻结、解冻流水为空）	不适用（本模块不提供）	不适用（本模块不提供）	否	否	否	本次实际变动数量（即时库存口径），方向由变动方向列表达。	整数；大于0；按基本单位	订单预占／释放、冻结、解冻流水不改变即时库存，本列为空；库存变化在四组变动明细中表达；一期数量不允许小数
来源信息	来源单据类型	枚举	系统回写	条件必填（结果单流水必填；冻结、解冻流水为空）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	产生本次结果或订单库存变化的来源单据类型。	销售订单、采购入库单、采退出库单、销售出库单、销退入库单、其他入库单、其他出库单、直接调拨单	枚举逐字来自本清单；订单预占／释放来源为销售订单；结果流水来源为已审核结果单；冻结、解冻来源为空展示 `-`
来源信息	来源单号	文本	系统回写	条件必填（结果单流水必填；冻结、解冻流水为空）	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	对应结果单单号；订单预占／释放流水记录对应销售订单号。	按《6.强盛ERP的编码规则和通用字段规则》第一节生成	结果流水点击进入对应结果单详情；订单预占／释放点击进入销售订单详情；冻结、解冻为空展示 `-`
来源信息	业务类型	枚举	其他出入库申请单	否	不适用（本模块不提供）	不适用（本模块不提供）	是	是	否	其他出入库的业务类型；仅其他出入库结果有值。	其他入库：盘盈、样品回收、借出归还、退料、赠品入库；其他出库：盘亏、样品领用、赠送、报废、借出（2026-09-23确认，与其他出入库申请单字段清单一致）	仅其他出入库结果有值；采购、销售、调拨及冻结、解冻流水为空展示 `-`；枚举与其他出入库申请单字段清单一致
